received_on,operator,volunteer,event_type,response_date,age,sex,duration,location,location_slug,location_type,latitude,longitude,topics_list,topics_count,topic_A1,topic_A2,topic_B1,topic_B2,topic_B3,topic_B4,topic_C1,topic_C2,topic_D1,topic_D2,topic_D3,topic_E1,topic_E10,topic_E2,topic_E3,topic_E4,topic_E5,topic_E6,topic_E7,topic_E8,topic_E9,topic_F1,topic_F10,topic_F11,topic_F12,topic_F2,topic_F3,topic_F4,topic_F5,topic_F6,topic_F7,topic_F8,topic_F9,topic_G1,topic_H1,topic_H2,topic_H3
2013-11-23T17:50:03,orange,sos,CALL_ME,2013-11-24T11:50:00,19,M,1,SANDOUA,51051225,village,14.54,-4.53,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-24T13:04:41.069000,orange,sos,RING,2013-11-24T13:30:00,18,M,3,BOUGOUFIE,51091001,village,14.48,-4.19,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-24T11:24:14.319000,orange,sos,RING,2013-11-24T11:54:00,27,M,2,NIAMANA,25029582,village,12.56,-7.86,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-24T13:09:36.831000,orange,sos,RING,2013-11-24T13:18:00,20,M,1,FADJIGUILA,91091445,village,,,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-24T13:10:02.879000,orange,sos,RING,2013-11-24T13:21:00,21,F,1,HAMDALLAYE,91094223,village,,,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-22T19:51:06,orange,sos,CALL_ME,2013-11-22T19:51:00,22,M,1,BOUGOUBA,91092181,village,,,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-24T11:53:19,orange,sos,SMS_HOTLINE,2013-11-24T12:16:00,20,F,3,BANCONI,91091001,village,,,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-24T11:48:20.007000,malitel,sos,RING,2013-11-24T14:19:00,11,F,1,MEDINA-COURA,91092451,village,,,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-24T11:41:49.436000,orange,sos,RING,2013-11-24T13:16:00,40,M,2,FALADIE,91096199,village,,,H3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
2013-11-24T11:55:49.302000,orange,sos,RING,2013-11-24T12:13:00,18,F,3,FALADIE,91096199,village,,,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-23T09:04:18.738000,orange,sos,RING,2013-11-23T09:04:00,29,M,1,DAR SALAM,41091331,village,13.44,-6.26,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-24T11:58:12.777000,orange,sos,RING,2013-11-24T12:21:00,25,M,3,KAFONO,33028246,village,10.58,-5.84,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-24T12:04:08.518000,orange,sos,RING,2013-11-24T12:32:00,42,M,3,SOTUBA,91091889,village,,,"A2, E1",2,,true,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-22T20:18:34.395000,orange,sos,RING,2013-11-22T14:46:00,28,F,1,SIKORONI (MEKIN SICORO),91091778,village,,,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-24T12:06:13.239000,orange,sos,RING,2013-11-24T12:36:00,42,M,1,CHATEAU,71091793,village,16.26,-0.04,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-24T10:43:32.035000,orange,sos,RING,2013-11-24T12:39:00,39,M,1,MASSATOUMARE,65056559,village,15.62,-3.85,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-24T13:25:21.950000,orange,sos,RING,2013-11-24T13:25:00,18,F,1,HAMDALLAYE,91094223,village,,,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-23T20:51:55.356000,orange,sos,CALL_ME,2013-11-24T14:19:00,15,M,1,SIRACORO MEGUETANA,25029914,village,12.56,-7.91,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-24T13:49:33,orange,sos,CALL_ME,2013-11-24T13:49:00,19,F,4,BADALABOUGOU,91095100,village,,,"A1, B1, E2, H3",4,true,,true,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,true
2013-11-23T22:14:14.094000,malitel,sos,RING,2013-11-24T11:42:00,29,M,2,KAYES-N^DI,11091001,village,14.46,-11.44,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-23T22:48:50,orange,sos,CALL_ME,2013-11-24T12:09:00,50,M,2,SANKORE,61091745,village,16.78,-3.01,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-23T17:45:26.286000,orange,sos,RING,2013-11-23T15:13:00,25,F,1,BACO-DJIKORONI,91095001,village,,,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-23T18:15:17,orange,sos,CALL_ME,2013-11-24T12:00:00,22,F,1,KALABANCOURA,91095397,village,,,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-11-23T18:18:03,orange,sos,CALL_ME,2013-11-24T10:42:00,18,F,2,PLATEAU,11091797,village,14.44,-11.43,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-11-24T12:52:47,orange,sos,CALL_ME,2013-11-24T14:22:00,18,F,1,N'TOROSSO DIABOUGOU,46043117,village,13.16,-5.09,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-23T18:18:51.507000,orange,sos,RING,2013-11-24T11:40:00,26,M,2,BANANKABOUGOU,91096001,village,,,E6,1,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
2013-11-24T13:00:17.303000,orange,sos,RING,2013-11-24T13:18:00,20,M,2,FADJIGUILA,91091445,village,,,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-23T18:22:36,orange,sos,CALL_ME,2013-11-24T11:43:00,26,M,2,BANANKABOUGOU,91096001,village,,,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-11-24T14:37:46.324000,orange,sos,RING,2013-11-24T15:09:00,34,M,2,BAFOULABE,12001036,village,13.81,-10.83,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-24T07:53:04.170000,orange,sos,RING,2013-11-24T12:40:00,15,F,1,MALIBOUGOU,25091451,village,12.75,-8.09,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-11-24T14:51:30.776000,orange,sos,CALL_ME,2013-11-24T14:13:00,37,M,1,DRAVELA BOLIBANA,91093441,village,,,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-23T18:27:57,orange,sos,CALL_ME,2013-11-24T18:27:00,21,M,1,BANCONI,91091001,village,,,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-24T15:25:45.295000,orange,sos,RING,2013-11-24T15:25:00,21,M,1,KALABAMBOUGOU,91094334,village,,,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-23T18:28:08,orange,sos,CALL_ME,2013-11-24T11:50:00,25,M,1,BANKOUMANA,43006001,village,12.84,-5.77,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-23T17:50:18,orange,sos,CALL_ME,2013-11-23T15:34:00,18,F,1,DOUMAZANA,91091334,village,,,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-23T17:50:20,orange,sos,SMS_HOTLINE,2013-11-23T15:37:00,30,M,2,NIARELA,91092631,village,,,A2,1,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-24T14:47:47.839000,orange,sos,RING,2013-11-24T15:47:00,42,M,1,BAMAKO-COURA BOLIBANA EX-BASE,91093221,village,,,A2,1,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-23T18:30:14,orange,sos,CALL_ME,2013-11-24T12:03:00,28,M,2,DAR-SALAM 2,35091298,village,12.41,-5.47,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-11-23T17:50:36,orange,sos,CALL_ME,2013-11-23T15:40:00,16,F,1,NIOMBOUGOU,35013698,village,12.77,-6.05,A2,1,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-23T18:44:34,orange,sos,CALL_ME,2013-11-24T11:03:00,21,M,2,SEBENINKORO,91094667,village,,,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-23T18:46:20.763000,orange,sos,RING,2013-11-24T12:46:00,21,F,2,SENOU,91096595,village,,,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-11-23T17:43:06,orange,sos,CALL_ME,2013-11-23T15:56:00,19,F,1,KALABANCOURA,91095397,village,,,A2,1,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-23T18:48:34,orange,sos,CALL_ME,2013-11-24T11:04:00,24,F,1,FALADIE,91096199,village,,,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-11-24T15:48:39.683000,orange,sos,RING,2013-11-24T15:58:00,21,M,2,MORIBABOUGOU,25039334,village,12.69,-7.87,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-11-23T18:50:41.157000,orange,sos,RING,2013-11-24T11:11:00,24,M,2,BAFOULABE,12001036,village,13.81,-10.83,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-23T18:46:27,orange,sos,CALL_ME,2013-11-24T16:05:00,18,F,2,PLATEAU1,21091667,village,12.86,-7.56,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-24T15:50:52.278000,orange,sos,RING,2013-11-24T16:04:00,25,M,2,CAMP-MILITAIRE,25091001,village,12.73,-8.06,E2,1,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,
2013-11-23T18:50:47,orange,sos,CALL_ME,2013-11-24T11:17:00,20,F,2,N'TOMINKOROBOUGOU,91093661,village,,,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-23T18:50:53,orange,sos,CALL_ME,2013-11-24T16:09:00,20,M,1,PLATEAU3,21091778,village,12.86,-7.56,A2,1,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-23T18:50:59,orange,sos,CALL_ME,2013-11-24T11:20:00,25,M,1,MISSABOUGOU,91096397,village,,,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-23T18:50:59,orange,sos,CALL_ME,2013-11-24T11:24:00,24,F,2,KOROFINA NORD,91091556,village,,,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-23T18:51:06,orange,sos,CALL_ME,2013-11-24T12:28:00,19,M,1,SEBENINKORO,91094667,village,,,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-11-23T18:51:01,orange,sos,CALL_ME,2013-11-24T16:40:00,24,F,1,KOROFINA NORD,91091556,village,,,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-24T16:44:27.666000,orange,sos,RING,2013-11-24T16:44:00,53,M,2,ANFOUGOULEYE,65001001,village,15.93,-3.46,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-24T10:51:07.846000,orange,sos,RING,2013-11-24T16:24:00,54,M,1,ARDIANGO,65001070,village,16.1,-3.71,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-11-24T15:47:44.022000,malitel,sos,RING,2013-11-24T16:33:00,23,M,1,MAGNAMBOUGOU,91096298,village,,,H3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
2013-11-24T16:00:32.886000,malitel,sos,RING,2013-11-24T16:36:00,20,F,1,OUOLOKORO,41035113,village,13.3,-6.56,H3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
2013-11-24T16:12:50.206000,orange,sos,RING,2013-11-24T16:32:00,19,M,1,MAGNAMBOUGOU,91096298,village,,,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-24T16:13:25.396000,orange,sos,RING,2013-11-24T16:42:00,25,M,1,CHATEAU,71091793,village,16.26,-0.04,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-24T16:13:48.780000,orange,sos,RING,2013-11-24T16:35:00,18,M,1,GANGUEL,51091100,village,14.49,-4.19,A2,1,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-24T16:19:56,orange,sos,CALL_ME,2013-11-24T16:46:00,23,F,1,NOMADES,71091892,village,,,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-11-24T16:55:38.299000,malitel,sos,RING,2013-11-24T16:55:00,30,M,1,SOMONO,41091936,village,13.45,-6.26,A2,1,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-24T11:20:59,orange,sos,CALL_ME,2013-11-23T15:48:00,,M,24,,,,,,H3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
2013-11-23T17:50:11,orange,sos,CALL_ME,2013-11-23T20:07:00,37,F,1,MAGNAMBOUGOU,91096298,village,,,A2,1,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-24T14:47:13,orange,sos,CALL_ME,2013-11-24T11:20:00,14,M,47,BADALABOUGOU,91095100,village,,,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-23T18:03:48,orange,sos,SMS_HOTLINE,2013-11-24T13:58:00,21,M,2,MORIBABOUGOU,25039334,village,12.69,-7.87,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-11-23T18:53:42,orange,sos,CALL_ME,2013-11-24T11:32:00,22,M,44,SIKORONI (MEKIN SICORO),91091778,village,,,H3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
